OBJECTID,预测房价
1,5182.5293
2,5381.5596
3,5381.5596
4,5381.5596
5,5211.0234
6,5958.6675
7,9708.426
8,11050.084
10,12628.783
13,12855.943
15,13133.881
16,12206.092
18,12207.983
19,4112.1753
20,5381.5596
21,5381.5596
22,5381.5596
23,5381.5596
24,5381.5596
25,5381.5596
26,5381.5596
27,5381.5596
28,5381.5596
29,5381.5596
30,5381.5596
31,5381.5596
32,5080.772
33,4610.4814
34,4332.906
35,5381.5596
36,5018.5625
37,3487.9739
38,15697.386
42,17244.5
46,15706.494
49,12882.008
51,12971.288
54,13349.116
55,6570.9307
56,5381.5596
57,5381.5596
58,5381.5596
59,5381.5596
60,5381.5547
61,5007.87
62,4728.904
63,4910.815
64,5360.6895
65,5381.5596
66,5381.5596
67,5381.5596
68,5381.5596
69,5381.5596
70,5381.5596
71,5381.5596
72,5381.5596
73,5381.5596
74,5381.5596
75,4523.9155
76,5381.5596
77,4551.052
78,4139.231
79,4989.5986
80,15272.037
81,4777.129
82,5381.5596
83,3487.9739
84,3487.9739
85,12782.096
90,13304.558
99,13292.63
106,15130.35
109,12953.201
111,13021.1
112,4688.4243
113,5381.5596
114,5381.5596
115,5381.5596
116,5381.5596
117,5235.933
118,4464.0986
119,4129.9766
120,4132.632
121,4045.7183
122,4349.143
123,4989.636
124,5503.695
125,4573.2046
126,4616.4546
127,4221.909
128,5381.5596
129,5381.5596
130,5381.5596
131,5381.5596
132,5381.5596
133,5381.5596
134,5381.5596
135,5381.5596
136,5381.5596
137,5381.5596
138,13449.716
140,4614.8066
141,5381.5596
142,4057.7502
143,5283.623
144,3970.4084
145,4365.605
146,7732.2993
147,12909.038
148,5338.557
149,5381.5596
150,12588.453
153,12727.221
154,13339.311
159,13245.325
172,14240.77
183,13719.855
193,13632.905
195,3982.9817
196,4192.5815
197,5381.5596
198,5381.5596
199,4879.702
200,4249.409
201,4104.2607
202,4155.995
203,4786.572
204,4930.889
205,6345.727
206,5381.5596
207,5381.5596
208,5381.5596
209,4760.639
210,9391.188
211,4632.359
212,4838.1523
213,5381.5596
214,5381.5596
215,5381.5596
216,5381.5596
217,5381.5596
218,5381.5596
219,5381.5596
220,5381.5596
221,5381.5596
222,5381.5596
223,5381.5596
224,5381.5596
225,5381.5596
226,5381.5596
227,12863.467
230,12695.209
231,3980.2004
232,3487.9739
234,3489.3865
236,4376.975
237,14837.686
243,11269.186
246,5541.564
247,3954.5728
248,10003.94
249,15736.164
252,14089.939
255,3537.9548
258,12859.044
264,12889.351
268,10879.621
271,14421.656
275,13935.399
282,10275.164
286,4949.2993
287,5381.5596
288,4016.3787
289,4002.8115
290,4092.8906
291,4399.732
292,5087.9604
293,5381.5596
294,5394.653
295,5381.5596
296,5381.5596
297,5379.7676
298,4700.9434
299,4409.654
300,4392.1333
301,4352.3027
302,5242.78
303,5381.5596
304,5381.5596
305,5381.5596
306,12859.044
307,12859.044
308,12206.092
311,12206.092
314,3537.9548
316,3487.9739
319,3487.9739
320,3487.9739
321,3487.9739
322,3487.9739
323,5381.5596
324,5381.5596
325,5381.5596
326,5381.5596
327,5381.5596
328,12664.424
334,12870.367
337,13131.317
340,9236.903
346,14228.213
350,13568.307
354,6854.938
365,12123.653
376,11429.961
381,12565.448
384,15582.201
385,10342.644
391,3487.9739
398,3555.7637
403,9358.456
408,12980.832
412,14060.39
414,4486.5054
415,5381.5596
416,5331.175
417,4160.603
418,4164.5864
419,5455.2046
420,5130.3125
421,5381.5596
422,5666.2197
423,5238.578
424,4547.2173
425,4125.3735
426,4301.5005
427,6733.0474
428,4492.396
429,5324.919
430,5381.5596
431,5381.5596
432,5381.5596
433,3633.5586
434,3664.0144
436,12995.222
437,12859.044
443,12605.267
446,3487.9739
450,3487.9739
452,3487.9739
454,3487.9739
457,3487.9739
458,3487.9739
459,3487.9739
460,3487.9739
461,3487.9739
462,3487.9739
463,3487.9739
464,5381.5596
465,5381.5596
466,5381.5596
467,10480.429
475,4374.614
481,13336.584
487,12417.803
493,8341.013
496,5481.1733
500,3487.9739
509,10722.065
516,4796.7964
522,17703.021
529,13480.252
535,13578.506
540,14927.336
547,11339.751
555,13248.8545
559,13038.069
565,6599.72
567,5376.894
568,5381.5596
569,4922.7534
570,3968.2864
571,4853.525
572,6345.727
573,4975.401
574,4749.979
575,4935.7915
576,4001.7673
577,5623.659
578,4713.7437
579,5356.535
580,5381.5596
581,4598.2876
582,5381.5596
583,5381.5596
