Id,center_x,center_y,Clusters_2,Clusters_3,Clusters_4,Clusters_5
0,114.2568998,30.41522721,1.0,1.0,1.0,4.0
1,114.2575208,30.41655667,0.0,0.0,1.0,0.0
2,114.2580922,30.41872772,0.0,0.0,0.0,0.0
3,114.2519167,30.42157757,0.0,2.0,1.0,3.0
4,114.2521894,30.42474308,0.0,0.0,0.0,3.0
5,114.2591755,30.42738446,0.0,0.0,0.0,0.0
6,114.2580831,30.4280801,0.0,2.0,1.0,1.0
7,114.2579354,30.4296839,0.0,2.0,2.0,2.0
8,114.2496934,30.42972333,0.0,0.0,2.0,2.0
9,114.2598546,30.43074021,,,,
10,114.260548,30.43011512,0.0,2.0,2.0,2.0
11,114.2432108,30.43086281,,,,
12,114.2579679,30.43173509,0.0,2.0,2.0,2.0
13,114.2510561,30.4285633,0.0,0.0,0.0,0.0
14,114.2629941,30.42970203,0.0,2.0,1.0,1.0
15,114.2593063,30.43258049,0.0,0.0,0.0,0.0
16,114.2482209,30.42386083,0.0,2.0,1.0,2.0
17,114.2537081,30.42921201,0.0,2.0,1.0,3.0
18,114.2491682,30.43124826,0.0,0.0,0.0,0.0
19,114.1964308,30.43279019,1.0,1.0,1.0,4.0
20,114.2033388,30.42884925,0.0,0.0,0.0,0.0
21,114.2565897,30.43299272,0.0,0.0,0.0,0.0
22,114.1966144,30.43507445,0.0,0.0,0.0,0.0
23,114.2519246,30.4346629,0.0,0.0,0.0,0.0
24,114.2493829,30.43543085,0.0,2.0,1.0,1.0
25,114.2627564,30.43489754,0.0,0.0,0.0,0.0
26,114.2591447,30.43511409,0.0,0.0,0.0,0.0
27,114.1962775,30.43628128,,,,
28,114.2180499,30.42916865,0.0,2.0,1.0,0.0
29,114.2546413,30.43640069,0.0,2.0,1.0,0.0
30,114.2645812,30.43829242,0.0,2.0,2.0,2.0
31,114.3130649,30.43848844,0.0,2.0,2.0,2.0
32,114.2603962,30.43961235,0.0,2.0,2.0,2.0
33,114.3103296,30.44022138,,,,
34,114.2596333,30.44045533,0.0,2.0,2.0,1.0
35,114.2630752,30.4398336,0.0,2.0,1.0,1.0
36,114.3128199,30.44000564,,,,
37,114.3096329,30.44124182,0.0,2.0,1.0,0.0
38,114.2513179,30.43902875,0.0,0.0,0.0,0.0
39,114.2134182,30.4346526,1.0,1.0,1.0,4.0
40,114.2538991,30.44085186,0.0,0.0,0.0,0.0
